country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
Tonga,2019,TON2019,TON,776,955,34,7.323472,1.0709596,5.9526439,8.6943007,7.6709061,.70835388,6.7642131,8.5775986,6.6879206,.87860608,5.5633049,7.8125362,6.251296,.53491652,5.5666027,6.9359894,10,0,10,10,7.5581298,.39670983,7.0503411,8.065918,7.9086385,.4711003,7.3056302,8.5116472,7.9764209,.5543825,7.2668114,8.6860304,,,,,6.5979767,.90873235,5.4347992,7.7611542,7.8433695,.7115857,6.9325399,8.754199
Tonga,2020,TON2020,TON,776,955,34,8.3354063,.32723814,7.9165416,8.7542715,8.2121248,.30070242,7.8272257,8.597024,7.7677369,.36024061,7.3066287,8.2288446,6.9987931,.37834534,6.5145111,7.4830751,10,0,10,10,7.6373215,.39473554,7.1320601,8.1425829,8.6262484,.37036788,8.1521778,9.1003189,8.2113314,.42025524,7.6734047,8.749258,,,,,7.8056841,.7676717,6.8230643,8.7883043,8.3264494,.70506811,7.4239621,9.2289362
Tonga,2021,TON2021,TON,776,955,34,8.1858702,.22303723,7.9003825,8.4713573,8.1603699,.23863479,7.8549175,8.4658222,7.9540896,.2759546,7.6008677,8.307312,6.8680902,.35053504,6.4194055,7.3167748,10,0,10,10,7.7292643,.38120383,7.2413235,8.217205,8.4760447,.37755337,7.9927764,8.9593134,8.2785749,.42309487,7.7370133,8.8201361,,,,,7.7268548,.72816712,6.7948008,8.6589088,8.1587334,.67161894,7.2990613,9.0184059
Tonga,2022,TON2022,TON,776,955,34,7.9707341,.40111449,7.4573073,8.4841604,7.9683142,.42020085,7.4304571,8.5061712,7.781116,.39079019,7.2809048,8.2813272,7.1292014,.46000159,6.5403996,7.7180033,10,0,10,10,8.009099,.73567986,7.0674286,8.9507694,8.1058931,.80153328,7.0799303,9.131856,7.3341799,1.0209882,6.0273151,8.6410446,,,,,7.6623025,.73874485,6.7167091,8.6078959,7.9258356,.85923064,6.8260202,9.025651
Tuvalu,2019,TUV2019,TUV,798,947,35,,,,,,,,,,,,,,,,,10,0,10,10,8.3666773,1.0068744,7.077878,9.6554766,,,,,,,,,,,,,,,,,,,,
Tuvalu,2020,TUV2020,TUV,798,947,35,8.6785669,.88905305,7.5405788,9.816555,8.243022,.8823238,7.1136475,9.3723965,8.6130142,.97695434,7.3625126,9.8635159,7.0104899,1.240683,5.4224157,8.5985641,10,0,10,10,7.1304803,.94907367,5.9156661,8.345295,7.9063153,1.2825667,6.2646298,9.5480003,8.7175264,.73794407,7.7729578,9.6620951,,,,,8.326643,.87375474,7.2082367,9.4450493,8.0261984,.77165025,7.038486,9.0139103
Tuvalu,2021,TUV2021,TUV,798,947,35,8.4712429,1.0714852,7.0997419,9.8427439,8.4746656,1.0533382,7.1263928,9.8229389,8.4519138,1.0591232,7.0962362,9.8075914,8.5226212,1.1312155,7.0746655,9.9705772,10,0,10,10,7.1795702,.89239287,6.0373073,8.3218327,8.7028103,.99753636,7.4259639,9.9796572,8.7777548,.95466238,7.5557871,9.9997225,,,,,8.4927549,1.0395495,7.1621318,9.8233786,8.1404219,.86760557,7.0298867,9.2509565
Vanuatu,2019,VUT2019,VUT,548,935,36,8.6991835,.90950382,7.5350184,9.863348,7.4245248,1.0244384,6.1132436,8.7358055,6.6161304,1.2396586,5.0293674,8.2028933,6.8411498,.59396374,6.0808764,7.6014233,10,0,10,10,5.6891503,1.1644284,4.1986818,7.1796188,7.4978557,.86383122,6.3921518,8.6035595,,,,,,,,,7.579371,.92841154,6.3910041,8.7677374,,,,
Vanuatu,2020,VUT2020,VUT,548,935,36,7.7872753,.63492233,6.9745746,8.5999756,7.1896996,.61005598,6.4088278,7.9705715,7.1961298,.59932709,6.4289913,7.9632683,5.1604061,.5699423,4.4308801,5.8899322,10,0,10,10,6.3356986,1.0492331,4.9926801,7.6787171,6.4164562,1.4628972,4.5439477,8.2889643,,,,,,,,,6.8990254,.93621349,5.7006721,8.0973787,,,,
Vanuatu,2021,VUT2021,VUT,548,935,36,7.4565945,.80392003,6.427577,8.4856119,7.4368253,.86292046,6.3322873,8.5413637,7.0379777,.82806396,5.978056,8.0978994,5.8674669,.82957691,4.8056083,6.9293256,10,0,10,10,,,,,,,,,,,,,,,,,7.1138654,.77264738,6.1248765,8.1028538,,,,
